YEAR,Plant Id,Combined Heat And Power Plant,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,EIA Sector Number,Sector Name,NAICS Code,Reported Prime Mover,Reported Fuel Type Code,MER Fuel Type Code,Balancing Authority Code,Physical Unit Label,Tot_MMBtu January,Elec_MMBtu January,Netgen January,Tot_MMBtu February,Elec_MMBtu February,Netgen February,Tot_MMBtu March,Elec_MMBtu March,Netgen March,Tot_MMBtu April,Elec_MMBtu April,Netgen April,Tot_MMBtu May,Elec_MMBtu May,Netgen May,Tot_MMBtu June,Elec_MMBtu June,Netgen June,Tot_MMBtu July,Elec_MMBtu July,Netgen July,Tot_MMBtu August,Elec_MMBtu August,Netgen August,Tot_MMBtu September,Elec_MMBtu September,Netgen September,Tot_MMBtu October,Elec_MMBtu October,Netgen October,Tot_MMBtu November,Elec_MMBtu November,Netgen November,Tot_MMBtu December,Elec_MMBtu December,Netgen December,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours)
2023,10,False,Greene County,Alabama Power Co,195.0,AL,ESC,SERC,1,Electric Utility,22,GT,DFO,DFO,SOCO,barrels,9511.0,9511.0,541.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,151.0,10.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.0,1984.0,144.738,791.0,791.0,28.894,12437,12437,726.04
2023,10,False,Greene County,Alabama Power Co,195.0,AL,ESC,SERC,1,Electric Utility,22,GT,NG,NG,SOCO,mcf,7790.0,7790.0,443.5,6649.0,6649.0,310.0,42803.0,42803.0,3070.0,19982.0,19982.0,1199.0,99249.0,99249.0,7158.092,68705.0,68705.0,5213.0,194885.0,194885.0,14939.0,379654.0,379654.0,29169.0,135466.0,135466.0,10484.0,55400.0,55400.0,3482.0,77106.0,77106.0,5626.262,9778.0,9778.0,357.106,1097467,1097467,81450.96
2023,10,False,Greene County,Alabama Power Co,195.0,AL,ESC,SERC,1,Electric Utility,22,ST,NG,NG,SOCO,mcf,496994.0,496994.0,45654.0,534807.0,534807.0,48829.0,1140000.0,1140000.0,108271.0,1286057.0,1286057.0,125435.0,1133102.0,1133102.0,106968.0,1668697.0,1668697.0,163842.0,2314467.0,2314467.0,227528.0,2403501.0,2403501.0,236176.0,1354594.0,1354594.0,131030.0,160934.0,160934.0,13980.0,325627.0,325627.0,28170.0,820138.0,820138.0,78200.0,13638918,13638918,1314083.0
2023,136,False,Seminole (FL),Seminole Electric Cooperative Inc,21554.0,FL,SAT,SERC,1,Electric Utility,22,CA,NG,NG,SEC,mcf,0.0,0.0,-325.0,0.0,0.0,-552.0,0.0,0.0,36027.0,0.0,0.0,131093.0,0.0,0.0,240488.0,0.0,0.0,250480.0,0.0,0.0,248945.0,0.0,0.0,260184.0,0.0,0.0,236153.0,0.0,0.0,256756.0,0.0,0.0,103734.0,0.0,0.0,259439.0,0,0,2022422.0
2023,136,False,Seminole (FL),Seminole Electric Cooperative Inc,21554.0,FL,SAT,SERC,1,Electric Utility,22,CT,NG,NG,SEC,mcf,0.0,0.0,-650.0,0.0,0.0,-1104.0,824273.0,824273.0,76886.0,2556955.0,2556955.0,266067.0,4552680.0,4552680.0,482805.0,4596772.0,4596772.0,476958.0,4601811.0,4601811.0,478047.0,4781621.0,4781621.0,496739.0,4332197.0,4332197.0,446985.0,4816733.0,4816733.0,508062.0,1989447.0,1989447.0,207945.0,4971167.0,4971167.0,531894.0,38023656,38023656,3970634.0
2023,136,False,Seminole (FL),Seminole Electric Cooperative Inc,21554.0,FL,SAT,SERC,1,Electric Utility,22,ST,BIT,COL,SEC,short tons,5815724.0,5815724.0,575417.93,4733646.0,4733646.0,462704.39,3957127.0,3957127.0,370081.06,3093360.0,3093360.0,270670.33,2712085.0,2712085.0,243250.09,2539176.0,2539176.0,222001.06,3134939.0,3134939.0,296666.23,3206142.0,3206142.0,283779.58,2860690.0,2860690.0,254107.42,3047214.0,3047214.0,286647.28,3286464.0,3286464.0,317393.97,3015566.0,3015566.0,287440.7,41402133,41402133,3870160.0
2023,136,False,Seminole (FL),Seminole Electric Cooperative Inc,21554.0,FL,SAT,SERC,1,Electric Utility,22,ST,DFO,DFO,SEC,barrels,15575.0,15575.0,1541.066,11198.0,11198.0,1094.606,6661.0,6661.0,622.94,19413.0,19413.0,1698.667,17247.0,17247.0,1546.914,22554.0,22554.0,1971.936,15933.0,15933.0,1507.775,28882.0,28882.0,2556.42,20507.0,20507.0,1821.585,16751.0,16751.0,1575.725,8460.0,8460.0,817.034,9120.0,9120.0,869.298,192301,192301,17623.966
2023,165,False,GREC,Grand River Dam Authority,7490.0,OK,WSC,MRO,1,Electric Utility,22,CA,NG,NG,SWPP,mcf,0.0,0.0,88992.0,0.0,0.0,83873.0,0.0,0.0,84644.0,0.0,0.0,75481.0,0.0,0.0,23718.0,0.0,0.0,86893.0,0.0,0.0,94466.0,0.0,0.0,93866.0,0.0,0.0,78061.0,0.0,0.0,27491.0,0.0,0.0,85756.0,0.0,0.0,94057.0,0,0,917298.0
2023,165,False,GREC,Grand River Dam Authority,7490.0,OK,WSC,MRO,1,Electric Utility,22,CT,NG,NG,SWPP,mcf,1823571.0,1823571.0,189899.0,1698323.0,1698323.0,178460.0,1720854.0,1720854.0,175462.0,1537924.0,1537924.0,154816.0,519977.0,519977.0,49131.0,1769641.0,1769641.0,187019.0,1957251.0,1957251.0,203951.0,1919601.0,1919601.0,201637.0,1644609.0,1644609.0,169948.0,631512.0,631512.0,59794.0,1760411.0,1760411.0,181701.0,1946585.0,1946585.0,201572.0,18930259,18930259,1953390.0
2023,165,False,GREC,Grand River Dam Authority,7490.0,OK,WSC,MRO,1,Electric Utility,22,ST,NG,NG,SWPP,mcf,79970.0,79970.0,4500.758,57160.0,57160.0,4264.582,61213.0,61213.0,1787.905,0.0,0.0,-46.145,49319.0,49319.0,3159.49,73399.0,73399.0,5649.943,63728.0,63728.0,5082.282,74470.0,74470.0,7093.161,29619.0,29619.0,3045.994,63281.0,63281.0,4204.431,43747.0,43747.0,3310.261,48459.0,48459.0,2471.343,644365,644365,44524.005
